user_id,event,date
1,open,2024-01-01 01:00:00
1,close,2024-01-14 00:00:00
3,open,2024-01-01 03:00:00
3,onboarding_done,2024-01-01 04:00:00
3,close,2024-01-16 02:00:00
4,open,2024-01-01 04:00:00
4,onboarding_done,2024-01-01 05:00:00
4,close,2024-01-22 03:00:00
5,open,2024-01-01 05:00:00
5,close,2024-01-02 04:00:00
6,open,2024-01-01 06:00:00
6,close,2024-01-12 05:00:00
7,open,2024-01-01 07:00:00
7,close,2024-01-18 06:00:00
8,open,2024-01-01 08:00:00
8,onboarding_done,2024-01-01 09:00:00
8,purchase,2024-01-12 07:00:00
8,close,2024-01-26 07:00:00
9,open,2024-01-01 09:00:00
9,close,2024-01-20 08:00:00
10,open,2024-01-01 10:00:00
10,onboarding_done,2024-01-01 11:00:00
10,purchase,2024-01-11 09:00:00
10,close,2024-01-15 09:00:00
12,open,2024-01-01 12:00:00
12,close,2024-01-28 11:00:00
13,open,2024-01-01 13:00:00
13,onboarding_done,2024-01-01 14:00:00
13,purchase,2024-01-05 12:00:00
13,close,2024-01-11 12:00:00
14,open,2024-01-01 14:00:00
14,close,2024-01-24 13:00:00
15,open,2024-01-01 15:00:00
15,close,2024-01-21 14:00:00
16,open,2024-01-01 16:00:00
16,onboarding_done,2024-01-01 17:00:00
16,close,2024-01-13 15:00:00
17,open,2024-01-01 17:00:00
17,close,2024-01-23 16:00:00
18,open,2024-01-01 18:00:00
18,close,2024-01-21 17:00:00
19,open,2024-01-01 19:00:00
19,onboarding_done,2024-01-01 20:00:00
19,purchase,2024-01-02 18:00:00
19,close,2024-01-24 18:00:00
20,open,2024-01-01 20:00:00
20,onboarding_done,2024-01-01 21:00:00
20,close,2024-01-05 19:00:00
22,open,2024-01-01 22:00:00
22,onboarding_done,2024-01-01 23:00:00
22,close,2024-01-04 21:00:00
23,open,2024-01-01 23:00:00
23,onboarding_done,2024-01-02 00:00:00
23,close,2024-01-30 22:00:00
24,open,2024-01-02 00:00:00
24,onboarding_done,2024-01-02 01:00:00
24,close,2024-01-27 23:00:00
25,open,2024-01-02 01:00:00
